,image_path,psnr,baseline
0,baboon.png,25.479557037353516,24.854883193969727
1,baby.png,38.347503662109375,37.10932159423828
2,barbara.png,28.36546516418457,28.00076675415039
3,bird.png,39.6207389831543,36.83454132080078
4,butterfly.png,30.566612243652344,27.433338165283203
5,coastguard.png,30.107126235961914,29.133216857910156
6,face.png,35.673606872558594,34.865909576416016
7,flowers.png,32.50514221191406,30.374055862426758
8,foreman.png,35.152732849121094,34.01431655883789
9,head.png,35.68534469604492,34.89253234863281
10,lenna.png,35.85375213623047,34.721038818359375
11,man.png,30.737476348876953,29.252065658569336
12,monarch.png,34.88127136230469,32.95503234863281
13,pepper.png,36.371124267578125,34.908390045166016
14,woman.png,34.882930755615234,32.15248489379883
15,TOTAL_AVG,33.61535898844401,32.10012626647949
